word, pos
"summer",NN
"wanted",VBN
"republican",NNP
"act",NNP
"recently",RB
"course",XX
"problem",NN
"senate",NNP
"medical",NNP
"done",VBN
"reached",VBN
"star",NNP
"continued",VBN
"investors",NNS
"living",VBG
"care",NN
"signed",VBN
"art",NN
"provide",VB
"worked",VBD
"presidential",NNP
"gold",NN
"morning",NN
"dead",JJ
"opened",VBN
"'ll",MD
"event",NN
"previous",JJ
"cost",NN
"instead",RB
"band",NN
"teams",NNS
"daily",NNP
"available",JJ
"drug",NN
"coming",VBG
"investment",NN
"’s",''
"civil",NNP
"woman",NN
"training",NN
"appeared",VBD
"involved",VBN
"similar",JJ
"situation",NN
"los",NNP
"running",VBG
"fighting",VBG
"mark",NNP
"trial",NN
"hold",VB
"thought",NN
"!",.
"study",NN
"fall",VB
"mother",NN
"met",VBD
"relations",NNS
"anti",JJ
"song",NNP
"popular",JJ
"base",NNP
"ground",NN
"markets",NNS
"ii",NNP
"newspaper",NN
"staff",NN
"saw",VBD
"hand",NN
"hope",NNP
"operations",NNS
"pressure",NN
"eastern",NNP
"legal",JJ
"budget",NN
"returned",VBN
"considered",VBN
"love",NN
"wrote",VBD
"stop",VB
"fight",VB
"currently",RB
"charges",NNS
"try",VB
"aid",NN
"ended",VBD
"management",NN
"brought",VBN
"cases",NNS
"decided",VBD
"failed",VBD
"network",NN
"works",NNS
"gas",NN
"turned",VBD
"fact",NN
"vice",NNP
"ca",NNP
"trading",NN
"especially",RB
"reporters",NNS
"common",JJ
"looking",VBG
"space",NN
"rates",NNS
"manager",NN
"loss",NN
"justice",NNP
"thousands",NNS
"rather",RB
"fund",NNP
"thing",NN
"republic",NNP
"opening",NN
"accused",VBN
"winning",VBG
"scored",VBN
"championship",NN
"example",NN
"getting",VBG
"biggest",JJS
"performance",NN
"sports",NNS
"let",VB
"allowed",VBN
"schools",NNS
"means",NNP
"turn",VB
"leave",NNP
"personal",JJ
"stocks",NNS
"showed",VBD
"light",NN
"arrested",VBN
"person",NN
"either",CC
"offer",NN
"majority",NNP
"battle",NN
"class",NN
"evidence",NN
"makes",VBZ
"society",NN
"products",NNS
"regional",JJ
"needed",VBN
"stage",NN
"am",VBP
"doing",VBG
"families",NNS
"construction",NN
"various",JJ
"sold",VBN
"independent",JJ
"kind",NNP
"airport",NNP
"judge",NNP
"internet",NN
"movement",NN
"room",NN
"followed",VBD
"original",JJ
"`",''
"data",NNS
"comes",VBZ
"parties",NNS
"nothing",NN
"sea",NN
"bring",VB
"annual",JJ
"officer",NN
"present",JJ
"remain",VBP
"remains",VBZ
"allow",VB
"computer",NN
"contract",NN
"coast",NNP
"created",VBN
"demand",NN
"operation",NN
"events",NNS
"beat",NNP
"analysts",NNS
"interview",NNP
"helped",VBD
"child",NN
"probably",RB
"spent",VBN
"effort",NNP
"cooperation",NN
"shows",NNS
"calls",NNS
"investigation",NN
"lives",NNS
"video",NNP
"yen",NN
"runs",NNS
"tried",VBD
"bad",JJ
"described",VBN
"toward",IN
"written",VBN
"throughout",IN
"established",VBN
"mission",NN
"associated",NNP
"buy",VB
"growing",VBG
"green",NNP
"forward",RB
"competition",NN
"poor",JJ
"latest",JJS
"banks",NNS
"question",NN
"prison",NN
"feel",VB
"attention",NN
"themselves",PRP
"firm",JJ
"injured",VBN
"itself",PRP
"governor",NNP
"movie",NN
"range",NN
"cross",NNP
"track",NN
"programs",NNS
"forced",VBN
"includes",VBZ
"difficult",JJ
"produced",VBN
"wall",NNP
"rebels",NNS
"income",NN
"chance",NN
"elected",VBN
"reach",VB
"adding",VBG
"species",NNS
"wants",VBZ
"finished",VBD
"rise",VB
"killing",VBG
"joined",VBN
"language",NN
"rest",NN
"serious",JJ
"tournament",NN
"officers",NNS
"inside",RB
"scheduled",VBN
"immediately",RB
"increased",VBN
"brown",NNP
"remained",VBD
"parts",NNS
"success",NN
"changes",NNS
"la",NNP
"residents",NNS
"meanwhile",RB
"net",NNP
"sides",NNS
"jobs",NNS
"hall",NNP
"believed",VBN
"deputy",NNP
"records",NNS
"heart",NN
"champion",NNP
"award",NNP
"planned",VBN
"version",NN
"grand",NNP
"institute",NNP
"step",NN
"democrats",NNPS
"rule",NN
"labor",NN
"above",IN
"summit",NN
"sometimes",RB
"addition",NN
"raised",VBN
"needs",NNP
"talk",NN
"longer",RBR
"terms",NNS
"rules",NNS
"ruling",VBG
"joint",JJ
"ball",NN
"beginning",VBG
"sure",JJ
"stay",VB
"safety",NN
"worth",JJ
"charge",NN
"begin",VB
"friends",NNS
"anything",NN
"caused",VBN
"sources",NNS
"sign",NN
"issued",VBN
"armed",JJ
"cents",NNS
"funds",NNS
"claimed",VBD
"heavy",JJ
"noted",VBN
"parents",NNS
"spending",NN
"e",LS
"related",JJ
"offered",VBN
"particularly",RB
"aircraft",NN
"whole",JJ
"authority",NNP
"risk",NN
"can",MD
"matter",NNP
"science",NN
"access",NN
"conditions",NNS
"details",NNS
"coalition",NN
"compared",VBN
"break",VB
"turkey",NNP
"daughter",NN
"natural",JJ
"museum",NN
"strike",NN
"style",NN
"paid",VBN
"rock",NN
"costs",NNS
"view",NN
"usually",RB
"royal",NNP
"travel",NN
"takes",VBZ
"books",NNS
"systems",NNS
"arrived",VBD
"hundreds",NNS
"'d",VBD
"hour",NN
"response",NN
"developed",VBN
"potential",JJ
"cause",IN
"value",NN
"idea",NN
"&",CC
"professional",JJ
"domestic",JJ
"credit",NN
"changed",VBN
"married",JJ
